word,n_morph
абажур,2
абажуродержатель,6
абаз,2
абазин,2
абазинец,3
абазинка,3
абазинский,3
абак,2
абака,2
аббат,2
аббатиса,3
аббатский,3
аббатство,3
аббревиатура,4
аббревиация,3
абвер,3
абдикация,3
абдомен,2
абдоминальный,3
абзац,2
абзацный,3
абиетин,2
абиетиновый,3
абиогенез,5
абиогенный,5
абиссальный,2
абиссинец,3
абиссинка,3
абиссинский,3
абитуриент,3
абитуриентский,4
аблактирование,5
аблактированный,5
аблактировать,4
аблактироваться,5
аблактировка,5
аблатив,2
аблаут,2
аблятив,2
абляут,2
абляционный,3
абляция,2
аболиционизм,4
аболиционист,4
аболиционистский,5
аболиция,2
абонемент,3
абонементный,4
абонент,3
абонентка,4
абонентный,4
абонентский,4
абонирование,5
абонированный,5
абонировать,4
абонироваться,5
абордаж,3
абордированный,5
абордировать,4
абордироваться,5
абориген,2
аборигенный,3
аборт,2
абортарий,3
абортивный,3
абортированный,5
абортировать,4
абортироваться,5
абразив,2
абразивный,3
абразионный,3
абразия,2
абракадабра,2
абреже,1
абрек,2
абрикос,2
абрикосный,3
абрикосовый,3
абрикотин,3
абрис,2
абруццкий,3
абсент,2
абсентеизм,4
абсентеист,4
абсолют,2
абсолютивный,3
абсолютизация,4
абсолютизирование,6
абсолютизировать,5
абсолютизироваться,6
абсолютизм,3
абсолютист,3
абсолютистский,4
абсолютно,3
абсолютно,3
абсолютный,3
абсорбент,4
абсорбер,4
абсорбированный,6
абсорбировать,5
абсорбироваться,6
абсорбциометр,6
абсорбционный,5
абсорбция,4
абстрагирование,5
абстрагированный,5
абстрагировать,5
абстрагироваться,5
абстрактный,3
абстракционизм,5
абстракционист,5
абстракционистский,6
абстракция,3
абсурдный,3
абсцесс,2
абсцисса,2
абхаз,2
абхазец,3
абхазка,3
абхазский,3
абцуг,2
абшид,2
абштрих,2
аваль,2
авангард,3
авангардизм,4
авангардист,4
авангардистский,5
авангардный,4
аванзал,3
аванкамера,3
аванложа,3
аванпорт,3
аванпост,3
аванпостный,4
аванрейд,3
аванс,2
авансирование,5
авансированный,5
авансировать,4
авансироваться,5
авансовый,3
авансодатель,5
авансодержатель,6
авансом,2
авансцена,3
авантаж,2
авантажный,3
авантитул,3
авантюра,2
авантюризм,3
авантюрист,3
авантюристический,4
авантюристка,4
авантюристский,4
авантюрный,3
авар,2
аварец,3
аварийно,3
аварийный,3
аварийщик,3
авария,2
аварка,3
аварский,3
авгур,2
август,2
августейший,3
августинец,4
августовский,4
авдотка,3
авеню,1
авестийский,4
авестский,3
авиабаза,3
авиабензин,3
авиабилет,3
авиабомба,3
авиагоризонт,3
авиадвигателестроительный,8
авиадвигатель,5
авиадесант,3
авиадесантный,4
авиадиспетчер,3
авиазавод,3
авиакатастрофа,3
авиакомпания,3
авиаконверт,3
авиаконструктор,5
авиалайнер,3
авиалесоохрана,6
авиалиния,3
авиамаяк,3
авиаметеослужба,6
авиаметеостанция,5
авиамоделизм,4
авиамоделист,4
авиамодель,3
авиамодельный,4
авиамотор,3
авиамоторостроение,6
авианавигационный,5
авианосец,4
авианосный,4
авиаопрыскивание,6
авиаотряд,3
авиапарк,3
авиапассажир,3
авиапатруль,3
авиаподкормка,5
авиапочта,3
авиаприбор,3
авиапромышленность,5
авиаразведка,5
авиаракетный,4
авиаракетостроение,6
авиаракетостроительный,7
авиасвязь,4
авиасекстант,3
авиаспорт,3
авиастроение,4
авиастроительный,5
авиастроительство,6
авиатехник,4
авиатика,4
авиатор,3
авиаторский,4
авиатранспорт,3
авиатрасса,3
авиахимический,4
авиационнокосмический,7
авиационноракетный,7
авиационноспортивный,7
авиационнотехнический,8
авиационнохимический,7
авиационный,4
авиация,3
авиачасть,3
авиашкола,3
авизировать,4
авизный,3
авизо,1
авитаминоз,4
авифауна,3
авокадо,1
авось,1
авось-либо,2
авоська,3
аврал,2
авралить,3
авральный,3
аврора,2
австралиец,3
австралийка,3
австралийский,3
австралоидный,4
австралопитек,4
австриец,3
австрийка,2
австрийский,3
австрияк,3
австриячка,4
австро-венгерский,5
австро-германский,5
австро-итало-французский,8
австро-итальянский,6
австро-советский,5
австроазиатский,6
автаркический,3
автаркия,2
авто,1
автоаннотирование,6
автобаза,3
автобиографический,5
автобиографичный,5
автобиография,4
автоблокировка,6
автоблокировочный,7
автобронетанковый,6
автобус,2
автобусно-таксомоторный,8
автобусный,4
автовесы,3
автовладелец,6
автоводитель,5
автовокзал,3
автогамия,4
автоген,3
автогенез,4
автогенератор,4
автогенно-сварочный,9
автогенный,4
автогенщик,4
автогидроподъемник,6
автогравюра,3
автограф,3
автографический,4
автографичный,4
автография,4
автогрейдер,3
автогрузовой,4
автогужевой,4
автодело,3
автодиспетчер,3
автодоение,4
автодоилка,6
автодорога,3
автодорожный,4
автодрезина,3
автодром,3
автозавод,3
автозаводец,4
автозаводский,4
автозаводской,4
автозаправка,4
автозаправочный,5
автозаправщик,4
автоинспектор,4
автоинспекция,4
автокар,3
автокара,3
автокатализ,3
автокатастрофа,3
автокинопередвижка,6
автоклуб,3
автоколебания,5
автоколебательный,5
автоколонна,3
автокомбинат,3
автокомментарий,4
автокормушка,4
автокоррекция,4
автокосметика,3
автокран,3
автократ,3
автократический,4
автократия,4
автокружок,3
автол,3
автолавка,3
автолесовоз,5
автолиз,3
автолитография,6
автолюбитель,5
автомагистраль,3
автомассажер,5
автомат,2
автомат-пакетировщик,6
автомат-упаковщик,6
автоматизация,4
автоматизирование,6
автоматизированный,6
автоматизировать,5
автоматизироваться,6
автоматизм,3
автоматика,3
автоматический,3
автоматичный,3
автоматно-пулеметный,8
автоматный,3
автоматчик,3
автоматчица,3
автомашина,3
автомашинист,4
автометаморфизм,5
автомеханик,4
автомеханический,5
автомобилевоз,5
автомобилеопрокидыватель,9
автомобилеразгрузчик,7
автомобилестроение,6
автомобилестроительный,7
автомобилетракторостроение,8
автомобилизация,5
автомобилизм,4
автомобилист,4
автомобилистка,5
автомобиль,3
автомобиль-вышка,5
автомобильно-дорожный,7
автомобильно-железнодорожный,10
автомобильно-тракторный,7
автомобильный,4
автомоделизм,4
автомодельный,4
автоморфизм,4
автомотоклуб,4
автомотолотерея,4
автомотолюбитель,6
автомоторный,4
автомотосекция,4
автомотоспортивный,5
автомототранспорт,4
автомототуризм,5
автомотошкола,4
автомотриса,3
автономизация,4
автономист,3
автономистский,4
автономический,3
автономия,2
автономный,3
автооператор,4
автопавильон,3
автопансионат,4
автопарк,3
